title,age,startYear,rating,numVotes
Star Wars: The Clone Wars,TV-PG,2014,9.3,80
Phineas and Ferb,TV-G,2012,8.9,80
The Batman,TV-Y7,2007,7.7,80
Justice League,TV-Y7-FV,2003,6.6,80
Mighty Morphin Power Rangers,TV-Y7-FV,2010,7.3,80
Young Justice,TV-PG,2012,7.1,80
All Hail King Julien,TV-Y7-FV,2016,7.1,80
Trollhunters,TV-Y7-FV,2016,8.3,80
The Jungle Book,PG,2016,9.7,80
The Angry Birds Movie,PG,2016,9.2,80
Talking Tom and Friends,TV-G,2016,6.1,80
The Nightmare Before Christmas,PG,1993,8.4,80
An Extremely Goofy Movie,G,1999,6.7,80
Scooby-Doo,PG,2002,8.6,80
The Iron Giant,PG,1999,8.3,80
Star Wars: The Clone Wars,PG,2008,5.7,80
Cars Toons: Mater's Tall Tales,TV-G,2010,7.4,80
The Batman,TV-Y7,2007,7.7,80
Justice League,TV-Y7-FV,2003,6.6,80
Mighty Morphin Power Rangers,TV-Y7-FV,2010,7.3,80
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,2015,6.7,80
Goosebumps,TV-Y7,1998,8.8,80
PokÌ©mon: Indigo League,TV-Y,2000,7.4,80
Ratchet and Clank,PG,2016,7.4,80
All Hail King Julien,TV-Y7-FV,2016,7.1,80
The Adventures of Puss in Boots,TV-Y7-FV,2016,7.8,80
Trollhunters,TV-Y7-FV,2016,8.3,80
PokÌ©mon: XY,TV-Y7-FV,2015,5.6,80
Growing Up Wild,G,2016,8.0,80
The Little Rascals,PG,1994,8.6,80
Flubber,PG,1997,8.3,80
Tarzan,G,1999,9.5,80
The Emperor's New Groove,G,2000,9.5,80
Scooby-Doo,PG,2002,8.6,80
Lilo & Stitch,PG,2002,9.5,80
Scooby-Doo 2: Monsters Unleashed,PG,2004,8.2,80
The Pacifier,PG,2005,9.1,80
Chicken Little,G,2005,9.2,80
Bee Movie,PG,2007,9.4,80
Kung Fu Panda,PG,2008,9.1,80
Coraline,PG,2009,9.5,80
Cars Toons: Mater's Tall Tales,TV-G,2010,7.4,80
Phineas and Ferb,TV-G,2012,8.9,80
Super Why!,TV-Y,2015,6.8,80
Jessie,TV-G,2015,8.8,80
Lab Rats,TV-Y7,2016,8.5,80
Masha and the Bear,TV-Y,2013,8.1,80
Pocoyo,TV-Y,2007,6.7,80
Home,PG,2015,9.4,80
Dragons: Race to the Edge,TV-Y7-FV,2017,8.8,80
Little Einsteins,TV-Y,2007,7.0,80
Hotel Transylvania 2,PG,2015,9.3,80
Dawn of the Croods,TV-Y7,2017,7.2,80
Goosebumps,PG,2015,9.0,80
Kung Fu Panda 3,PG,2016,9.2,80
Zootopia,PG,2016,9.7,80
The Jungle Book,PG,2016,9.7,80
Open Season: Scared Silly,PG,2015,7.2,80
The Angry Birds Movie,PG,2016,9.2,80
Alice Through the Looking Glass,PG,2016,9.6,80
Finding Dory,PG,2016,9.8,80
Goldie & Bear,TV-Y,2016,7.7,80
Talking Tom and Friends,TV-G,2016,6.1,80
The Little Rascals,PG,1994,8.6,80
Antz,PG,1998,8.0,80
Tarzan,G,1999,9.5,80
An Extremely Goofy Movie,G,1999,6.7,80
Chicken Run,G,2000,8.0,80
The Emperor's New Groove,G,2000,9.5,80
Lilo & Stitch,PG,2002,9.5,80
Spy Kids 3: Game Over,PG,2003,6.4,80
Annie,PG,1982,6.8,80
Mulan 2,G,2004,8.5,80
Chicken Little,G,2005,9.2,80
Lilo & Stitch 2: Stitch Has A Glitch,PG,2005,8.5,80
Bee Movie,PG,2007,9.4,80
Kung Fu Panda,PG,2008,9.1,80
Cars Toons: Mater's Tall Tales,TV-G,2010,7.4,80
Super Why!,TV-Y,2015,6.8,80
DreamWorks Shrek's Swamp Stories,TV-PG,2008,5.6,80
The Magic School Bus,TV-Y,1997,8.1,80
Goosebumps,TV-Y7,1998,8.8,80
Masha and the Bear,TV-Y,2013,8.1,80
Pocoyo,TV-Y,2007,6.7,80
Sofia the First,TV-Y,2015,8.2,80
Barbie Life in the Dreamhouse,TV-G,2012,8.5,80
Paddington,PG,2014,7.0,80
All Hail King Julien,TV-Y7-FV,2016,7.1,80
Minions,PG,2015,9.6,80
Dragons: Race to the Edge,TV-Y7-FV,2017,8.8,80
Little Einsteins,TV-Y,2007,7.0,80
Hotel Transylvania 2,PG,2015,9.3,80
The Little Prince,PG,2015,7.1,80
Zootopia,PG,2016,9.7,80
The Jungle Book,PG,2016,9.7,80
Open Season: Scared Silly,PG,2015,7.2,80
The Angry Birds Movie,PG,2016,9.2,80
Finding Dory,PG,2016,9.8,80
Goldie & Bear,TV-Y,2016,7.7,80
Talking Tom and Friends,TV-G,2016,6.1,80
Cool Runnings,PG,1993,8.1,80
Homeward Bound: The Incredible Journey,G,1993,9.6,80
The Little Rascals,PG,1994,8.6,80
Anastasia,G,1997,9.3,80
Tarzan,G,1999,9.5,80
The Emperor's New Groove,G,2000,9.5,80
Scooby-Doo,PG,2002,8.6,80
Lilo & Stitch,PG,2002,9.5,80
Missione Hamburger,PG,1997,7.5,80
Chicken Little,G,2005,9.2,80
Curious George,G,2006,5.5,80
Bee Movie,PG,2007,9.4,80
Kung Fu Panda,PG,2008,9.1,80
Coraline,PG,2009,9.5,80
Cars Toons: Mater's Tall Tales,TV-G,2010,7.4,80
Super Why!,TV-Y,2015,6.8,80
Jessie,TV-G,2015,8.8,80
Secret of the Wings,G,2012,6.5,80
The Magic School Bus,TV-Y,1997,8.1,80
Masha and the Bear,TV-Y,2013,8.1,80
Sofia the First,TV-Y,2015,8.2,80
Barbie Life in the Dreamhouse,TV-G,2012,8.5,80
Home,PG,2015,9.4,80
Paddington,PG,2014,7.0,80
Minions,PG,2015,9.6,80
Dragons: Race to the Edge,TV-Y7-FV,2017,8.8,80
Little Einsteins,TV-Y,2007,7.0,80
Hotel Transylvania 2,PG,2015,9.3,80
Walt Disney Animation Studios Short Films Collection,TV-G,2015,8.4,80
Kung Fu Panda 3,PG,2016,9.2,80
Bunk'd,TV-G,2016,6.1,80
Zootopia,PG,2016,9.7,80
The Jungle Book,PG,2016,9.7,80
Open Season: Scared Silly,PG,2015,7.2,80
The Angry Birds Movie,PG,2016,9.2,80
Alice Through the Looking Glass,PG,2016,9.6,80
The BFG,PG,2016,9.7,80
Pete's Dragon,PG,2016,9.3,80
Kubo and the Two Strings,PG,2016,9.6,80
Goldie & Bear,TV-Y,2016,7.7,80
Growing Up Wild,G,2016,8.0,80
The Real Ghostbusters,TV-Y7,1990,6.5,80
Cool Runnings,PG,1993,8.1,80
Anastasia,G,1997,9.3,80
Antz,PG,1998,8.0,80
The Prince of Egypt,PG,1998,8.1,80
Tarzan,G,1999,9.5,80
The Road to El Dorado,PG,2000,9.1,80
Pocahontas II: Journey to a New World,TV-G,1998,6.4,80
The Emperor's New Groove,G,2000,9.5,80
Fantasia,G,1940,6.1,80
An American Tail,G,1986,6.7,80
Balto,G,1995,6.4,80
The Iron Giant,PG,1999,8.3,80
Brother Bear 2,G,2006,5.7,80
The Magic School Bus,TV-Y,1997,8.1,80
Animaniacs,TV-Y7,1997,7.2,80
The Pirate Fairy,G,2014,5.7,80
Walt Disney Animation Studios Short Films Collection,TV-G,2015,8.4,80
Alice Through the Looking Glass,PG,2016,9.6,80
The Real Ghostbusters,TV-Y7,1990,6.5,80
Flubber,PG,1997,8.3,80
Anastasia,G,1997,9.3,80
An Extremely Goofy Movie,G,1999,6.7,80
An American Tail,G,1986,6.7,80
Scooby-Doo,PG,2002,8.6,80
FernGully: The Last Rainforest,G,1992,7.0,80
Balto,G,1995,6.4,80
The Iron Giant,PG,1999,8.3,80
Little Einsteins,TV-Y,2007,7.0,80
Hotel Transylvania 2,PG,2015,9.3,80
The Real Ghostbusters,TV-Y7,1990,6.5,80
Cool Runnings,PG,1993,8.1,80
Anastasia,G,1997,9.3,80
Antz,PG,1998,8.0,80
The Prince of Egypt,PG,1998,8.1,80
Tarzan,G,1999,9.5,80
The Road to El Dorado,PG,2000,9.1,80
Pocahontas II: Journey to a New World,TV-G,1998,6.4,80
The Emperor's New Groove,G,2000,9.5,80
Fantasia,G,1940,6.1,80
An American Tail,G,1986,6.7,80
Balto,G,1995,6.4,80
The Iron Giant,PG,1999,8.3,80
Brother Bear 2,G,2006,5.7,80
The Magic School Bus,TV-Y,1997,8.1,80
Animaniacs,TV-Y7,1997,7.2,80
The Pirate Fairy,G,2014,5.7,80
Walt Disney Animation Studios Short Films Collection,TV-G,2015,8.4,80
Alice Through the Looking Glass,PG,2016,9.6,80
The Real Ghostbusters,TV-Y7,1990,6.5,80
Cool Runnings,PG,1993,8.1,80
Homeward Bound: The Incredible Journey,G,1993,9.6,80
Anastasia,G,1997,9.3,80
Antz,PG,1998,8.0,80
The Road to El Dorado,PG,2000,9.1,80
Fantasia,G,1940,6.1,80
Harry and the Hendersons,PG,1987,5.8,80
Atlantis: The Lost Empire,PG,2001,9.6,80
FernGully: The Last Rainforest,G,1992,7.0,80
Balto,G,1995,6.4,80
Atlantis: Milo's Return,G,2003,7.9,80
Annie,PG,1982,6.8,80
The Iron Giant,PG,1999,8.3,80
Mulan 2,G,2004,8.5,80
Corpse Bride,PG,2005,9.1,80
Brother Bear 2,G,2006,5.7,80
Animaniacs,TV-Y7,1997,7.2,80
The Pirate Fairy,G,2014,5.7,80
Growing Up Wild,G,2016,8.0,80
Cool Runnings,PG,1993,8.1,80
Flubber,PG,1997,8.3,80
Anastasia,G,1997,9.3,80
Antz,PG,1998,8.0,80
The Road to El Dorado,PG,2000,9.1,80
An American Tail,G,1986,6.7,80
Harry and the Hendersons,PG,1987,5.8,80
Baby's Day Out,PG,1994,7.1,80
Balto,G,1995,6.4,80
Blank Check,PG,1994,9.3,80
Heavyweights,PG,1995,7.4,80
Annie,PG,1982,6.8,80
D2: The Mighty Ducks,PG,1994,7.0,80
"Honey, I Shrunk the Kids",PG,1989,8.0,80
The Iron Giant,PG,1999,8.3,80
H2O: Just Add Water,TV-PG,2009,7.4,80
The Magic School Bus,TV-Y,1997,8.1,80
PokÌ©mon: Indigo League,TV-Y,2000,7.4,80
Paddington,PG,2014,7.0,80
Dawn of the Croods,TV-Y7,2017,7.2,80
The BFG,PG,2016,9.7,80
Growing Up Wild,G,2016,8.0,80
